Origen,Descripción,Tipo,Semántica
Corpus,certificaciones bancarias,Servicio,Servicio
Corpus,cuentas,Producto,Producto
Corpus,tarjetas débito,Producto,Producto;Ahorro;Débito
Corpus,tarjetas crédito,Producto,Crédito
Corpus,créditos,Producto,Crédito
Corpus,leasing,Producto,Producto
Corpus,seguros y asistencias,Servicio,Seguro
Corpus,inversiones,Servicio,Servicio
Corpus,giros,Servicio,Servicio
Corpus,servicios de pago,Servicio,Pago
Corpus,compra y venta de dólares,Servicio,Moneda;Compra;Venta;Tasa de Cambio
Corpus,venta de usados,Servicio,Compra;Venta
Corpus,renta de vehículos,Servicio,Renta
Corpus,sucursal virtual personas,Servicio,Servicio
Corpus,bancolombia app,Servicio,Servicio
Corpus,corresponsal bancario,Servicio,Servicio
Corpus,sucursal telefónica,Servicio,Servicio
Corpus,multipagos pse,Servicio,Pago
Corpus,sucursal física,Servicio,Servicio
Corpus,cajero automático,Servicio,Retiro;Consulta
Corpus,cajero multifuncional,Servicio,Retiro;Consignación;Pago;Consulta
Corpus,soluciones de financiación,Servicio,Servicio
Corpus,pagar y recaudar,Servicio,Pago
Corpus,inversión de liquidez,Servicio,Servicio
Corpus,cobertura de riesgos,Servicio,Servicio
Corpus,estructuración de negocios,Servicio,Servicio
Corpus,administración de liquidez,Servicio,Servicio
Corpus,gestión de tesorería,Servicio,Servicio
Corpus,tarjetas de crédito,Producto,Crédito
Corpus,cuentas de depósito,Producto,Producto;Ahorro;Depósito
Corpus,seguros,Servicio,Seguro
Corpus,banca de inversión,Servicio,Servicio
Corpus,factoring,Servicio,Servicio
Corpus,renting,Servicio,Servicio
Corpus,operaciones en moneda extranjera,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,sucursal virtual empresas,Servicio,Servicio
Corpus,fiduciaria bancolombia,Servicio,Servcio
Corpus,leasing bancolombia,Servicio,Servcio
Corpus,renting colombia,Servicio,Servcio
Corpus,valores bancolombia,Servicio,Servcio
Corpus,factoring bancolombia,Servicio,Servcio
Corpus,sufi,Servicio,Servcio
Corpus,tuya,Servicio,Servcio
Corpus,cuenta ahorrador,Servicio,Servicio;Ahorro
Corpus,fondos de inversión,Producto,Producto;Inversión
Corpus,certificados de depósito a término,Servicio,Servicio;CDT
Corpus,inversión virtual,Servicio,Servicio
Corpus,crédito corto plazo,Producto,Crédito
Corpus,crédito largo plazo pregrado,Producto,Crédito
Corpus,crédito largo plazo posgrado,Producto,Crédito
Corpus,cuentas de ahorros ,Servicio,Servicio;Ahorro
Corpus,tarjeta e–prepago,Producto,Producto
Corpus,giros y remesas,Servicio,Servicio
Corpus,billetera móvil,Producto,Producto
Corpus,crédito y leasing para vehículo,Producto,Crédito
Corpus,créditos de consumo,Producto,Crédito
Corpus,crediágil ,Producto,Crédito
Corpus, comercialización de activos,Servicio,Servicio
Corpus,seguro de vehículo,Servicio,Seguro
Corpus,seguro de desempleo,Servicio,Seguro
Corpus,seguro vida ,Servicio,Seguro
Corpus,seguro de accidentes,Servicio,Seguro
Corpus,crediágil,Producto,Crédito
Corpus,tarjeta e-prepago,Producto,Producto
Corpus,haz pagos por internet,Servicio,Servicio
Corpus,comercialización de activos,Servicio,Servicio
Corpus,sucursales físicas,Servicio,Servicio
Corpus,corresponsales bancarios,Servicio,Servicio
Corpus,pac,Servicio,Servicio
Corpus, refinanciar,Servicio,Servicio
Corpus, restructurar y comprar cartera,Producto,Producto
Corpus,paz y salvos,Servicio,Servicio
Corpus,consulta de movimientos,Servicio,Servicio
Corpus,copia de transacciones,Servicio,Servicio
Corpus,extractos,Servicio,Servicio
Corpus,certificaciones leasing,Servicio,Servicio
Corpus,soporte de operación leasing,Servicio,Servicio
Corpus,crédito de estudio,Producto,Crédito
Corpus,tarjeta crédito joven,Producto,Crédito
Corpus,haz tus transacciones por internet,Servicio,Servicio
Corpus,cuentas de ahorro,Servicio,Servicio;Ahorro
Corpus,cuenta corriente,Producto,Producto
Corpus,cuenta única para campañas políticas bancolombia,Producto,Producto
Corpus,leasing habitacional,Producto,Producto
Corpus,leasing inmobiliario,Producto,Producto
Corpus,leasing para vehículo,Producto,Producto
Corpus,leasing financiero otros activos,Producto,Producto
Corpus,cdt,Servicio,Servicio;CDT
Corpus,compra y venta de acciones,Servicio,Servicio
Corpus,renta fija,Servicio,Servicio
Corpus,mercado monetario,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,inversiones internacionales,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,portafolios delegados,Servicio,Servicio
Corpus,pago de impuestos,Servicio,Servicio
Corpus,pago sucursal virtual y telefónica,Servicio,Servicio
Corpus,débito automático,Servicio,Servicio
Corpus,pago de seguridad social,Servicio,Servicio
Corpus,cheques,Producto,Producto
Corpus,tienda del inmueble,Producto,Producto
Corpus,transacciones ,Servicio,Servicio
Corpus,canales,Servicio,Servicio
Corpus,sucursal web,Servicio,Servicio
Corpus,transacciones,Servicio,Servicio
Corpus,móvil,Servicio,Servicio
Corpus,tarjetas,Producto,Producto
Corpus,soluciones de pago y recaudo,Servicio,Servicio;Pago;Consignación
Corpus,cuentas de moneda extranjera,Producto,Producto;Moneda;Tasa de Cambio
Corpus,operaciones de moneda extranjera ,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,cobranza de importación o exportación ,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,negociación de cheques en moneda extranjera,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,compra y venta de divisas,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,giros financiados y cartas de crédito ,Servicio,Servicio
Corpus,prefinanciación de exportaciones ,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,pagar y recaudar,Servicio,Servicio;Pago;Consignación
Corpus,crédito agrofácil,Producto,Crédito
Corpus, compra y vende en el exterior,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,gestión de la tesorería,Servicio,Servicio
Corpus,tarjeta débito maestro clásica,Producto,Producto;Ahorro
Corpus,asesoría integral para tu empresa,Servicio,Servicio
Corpus,administración de liquidez gobierno,Servicio,Servicio
Corpus,cobertura de riesgos gobierno,Servicio,Servicio
Corpus,seguros,Servicio,Seguro
Corpus,visa distribución,Producto,Producto
Corpus,empresarial visa y mastercard,Producto,Producto
Corpus,avianca lifemiles micropyme,Producto,Producto
Corpus,avianca lifemiles pyme,Producto,Producto
Corpus,mastercard negocios,Producto,Producto
Corpus,caja menor,Producto,Producto
Corpus,viáticos,Servicio,Servicio
Corpus,nómina,Servicio,Servicio;Ahorro
Corpus,tarjetas empresariales,Producto,Producto
Corpus,corriente,Producto,Producto
Corpus,ahorros,Servicio,Servicio;Ahorro;Débito
Corpus,maestra,Producto,Producto;Ahorro;Deébito
Corpus,inmobiliario completo,Producto,Producto
Corpus,administración y fuentes de pagos,Servicio,Servicio
Corpus,fideicomiso de inversión,Servicio,Servicio
Corpus,administración y pagos,Servicio,Servicio
Corpus,anticipos,Servicio,Servicio
Corpus,fondos de capital privado,Producto,Producto
Corpus,administración de inmuebles,Servicio,Servicio
Corpus,garantía con inmuebles,Servicio,Servicio
Corpus,tesorería inmobiliaria,Servicio,Servicio
Corpus,leasing internacional,Producto,Producto
Corpus,leasing verde,Producto,Producto
Corpus,arrendamiento operativo,Servicio,Servicio
Corpus,arrendamiento de vehículos,Servicio,Servicio
Corpus,renting vehículos,Producto,Producto
Corpus,sucursal virtual empresas bancolombia,Servicio,Servicio
Corpus,indicadores,Servicio,Servicio
Corpus,mercado de capitales,Servicio,Servicio
Corpus,banca de inversión bancolombia s.a,Servicio,Servicio
Corpus,grupo bancolombia asset management,Servicio,Servicio
Corpus,fiduciaria bancolombia s.a,Servicio,Servicio
Corpus,leasing bancolombia  ,Producto,Producto
Corpus,renting colombia s.a,Producto,Producto
Corpus,valores bancolombia s.a,Servicio,Servicio
